"actual_city_town","year","season","week","ncom","date","ncom_rank","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5","Dim.6","Dim.7","Dim.8","Dim.9","Dim.10","Dim.11","Dim.12","Dim.13","Dim.14"
"Worcester",2018,"summer",35,0.00774193548387097,2018-08-27,1,1.84038275772384,1.66642277746845,2.28851570546689,-1.03742638268791,-0.367355500873413,-1.2825287428494,-0.341680468165779,0.5366518177118,-0.0374212536918722,-1.39005143846902,1.06213791845184,0.163061373734787,-0.37556131288078,0.455602923722736
"Worcester",2015,"fall",36,2.54158127767236,2015-09-07,6,-2.9708511712298,0.370915391242143,0.167606692830036,0.677352631615309,-0.234648579707238,-0.251723563337275,-0.879611757240862,-0.158896825769303,0.026480334073276,-0.141279404479041,0.033142449506983,0.231348781406989,-0.181814800227239,-0.321835606047343
"Worcester",2016,"fall",36,0.00818047649167194,2016-09-05,1,2.20671614584324,-2.20529469196314,0.320410891781123,-0.997631352405923,1.07153900295199,0.374288269390604,-1.50280167647967,-0.530240875963068,0.234594051918355,1.52816900534066,-1.18975721839956,1.10985899749479,-0.289169281392396,-0.316015616952249
"Worcester",2017,"fall",36,0.0255112797807295,2017-09-04,1,-2.73673560030344,-1.13956165056783,1.09585565957766,0.327118085471715,-1.54245283280981,0.0897337607751584,-1.25308495820251,-0.569590471500063,0.680497912409682,0.618310310424966,0.172265505606016,-0.416486715717218,0.352229161274282,0.719396364592545
"Worcester",2018,"fall",36,0.0141513809825005,2018-09-03,1,1.8057990302278,4.28958152259873,-1.28788954870504,1.40427512960356,0.65200526705936,-1.10064749185207,0.33881278036467,0.670186085085359,-0.51072582769447,-0.0836429436761027,0.553390119806771,0.125370525403484,0.52709674138881,0.0445088638518082
"Billerica",2018,"spring",20,0.055649583643626,2018-05-14,2,1.09358664426172,-0.564469670148076,-0.355221484588019,0.325212045718207,-1.04039997236189,-1.11334256132043,1.11677269769662,0.104344810890365,-2.02103937986305,0.323694438741763,-1.13073285368863,-0.612797081730635,1.0001641417771,-0.515082892761124
"Worcester",2013,"fall",37,0.169782837866329,2013-09-16,4,2.15447390315288,0.701986398617182,0.636230843874823,-0.789621797502733,0.102086129932639,0.535283307610041,0.0843553176723716,0.301330787504053,0.347563426331317,0.336490633397621,-0.442631797208992,-0.0720235817669854,-0.0286500756205144,-0.0875846299677592
"Worcester",2015,"fall",37,0.00484081804764917,2015-09-14,1,-0.1760478475928,0.748455988545023,2.47890868032917,-1.08947053412257,0.245944596392834,1.14959343836661,0.278229340450156,-0.327964315757435,-0.0989265783561061,-0.0792684292565058,-0.287693747594335,0.208431453775655,0.0396589855979357,0.00796305517272307
"Worcester",2017,"fall",37,0.00103731815306768,2017-09-11,1,1.29132497731665,1.47185287367544,1.37870749253803,-0.585102018694085,0.00459192553334109,-1.63321463487933,0.138436235594938,0.318986337902786,-0.750373659973555,-0.411152752036033,-0.33756183986435,-0.117430067950463,0.244370892865277,0.567221232256378
"Worcester",2018,"fall",37,0.00635041113219481,2018-09-10,1,1.64719866491484,1.41907179250146,3.10412552730253,-0.641219030882394,0.0926769554649563,0.383665551146178,0.84406411436027,1.01711498491277,0.0665882242864433,-0.0900977198329238,-0.071142037563725,0.640754040437574,-1.43616266009488,-0.341352357889205
"Worcester",2013,"fall",38,0.0399156651908075,2013-09-23,2,3.50848059411104,0.612392299143562,-0.469354627925516,0.113818368138488,-0.463681168318643,0.748976369153835,-0.289397608956186,0.162483917251258,-0.690031686635038,-0.0362586343569401,0.0707313965122289,-0.716899418674283,-0.36542798615798,-0.942419173548117
"Worcester",2015,"fall",38,0.0515791693021295,2015-09-21,2,-0.280352142293798,0.0445419249669535,-1.05388567495575,-0.336865932338707,-0.4247558199743,-0.0622607623304862,-0.00965060576801344,-0.794893443929868,0.0355902591993245,-0.30055245102607,-0.255394989894309,-0.132288280429889,0.0602994911947849,0.232769968681703
"Worcester",2017,"fall",38,0.00865275142314991,2017-09-18,1,2.99134562377735,2.40274241176788,3.26426506503236,-0.641089873314439,0.979407812489864,-0.0806554104455249,0.633236389844703,1.00190546204139,0.210937215708267,-0.6840923476229,-0.424383625350762,-0.233962505905244,-0.42598767533055,-0.579368897750546
"Worcester",2013,"fall",39,0.00258064516129032,2013-09-30,1,1.34618954524782,-2.93457039801648,-0.273977038969641,-0.649887216345385,1.78478752926589,-0.207044914898336,-1.86202934875061,0.632273627964605,0.0773092291073903,-1.00586130186583,0.696745582494622,-0.428157107400939,-2.07044600053822,0.467226856027164
"Worcester",2015,"fall",39,0.00737929580434324,2015-09-28,1,-1.9191597542576,0.265647576260071,-1.35316429846837,-1.03905832051779,1.14520050997624,0.759269328236769,0.6288770683445,-0.309607806706095,0.0167180761415971,0.213875045057625,0.318105272952637,1.28681321775189,1.39756964844482,0.334088752492611
"Worcester",2016,"fall",39,0.0449504532995994,2016-09-26,2,3.3230524441907,0.0431391559695251,0.178399206972693,-0.760620368885306,-1.83462151717239,2.535934850791,-0.286462207291714,-0.419056392692563,1.33153533701294,1.36208615688789,0.557903284074418,1.06016864675545,-0.358990069469038,0.280518246885523
"Billerica",2016,"spring",21,0.0198632455487103,2016-05-23,1,1.28708277421924,-0.359928576065955,-0.333605553125519,0.280135427503042,-0.922548023562544,1.39458457509011,-0.817168401246397,0.206932686047876,0.857460042817214,-0.126585776565662,-0.706749919064291,0.307418484443311,0.0252563442402179,-0.370359718069652
"Worcester",2017,"fall",39,2.62351254480287,2017-09-25,6,-3.31839975797432,-0.55106398727638,1.72064787709823,-1.05375494547718,-0.226298266621938,-0.461523173268617,-1.39423582223801,-0.0924541577222724,-0.172241998784669,1.36054493161951,0.269129514194872,0.110739445177729,0.166017864086803,0.134309639163875
"Worcester",2018,"fall",39,0.0569681636095298,2018-09-24,2,0.337811123308241,3.19637992903336,-2.55712910928977,-0.961436288089208,0.744689094271134,-1.45041900056405,-0.149273904414874,0.804068946143184,0.538673091665244,1.00205766624173,-0.699118528298919,-0.00597949576421669,-0.0680562463154274,0.408634442548137
"Worcester",2015,"fall",40,0.00781783681214421,2015-10-05,1,1.21883399545456,0.697767470811004,-0.354523406251002,0.910384254091173,-0.0648027187991994,-0.224373153976652,1.86341006033319,-1.00713470023961,-0.522850285324772,0.234445546722569,-0.420312224333909,-0.507019258819761,-0.318267575653333,-0.00529204514344135
"Worcester",2017,"fall",40,0.0646088973223698,2017-10-02,3,-1.61217785655455,-0.258722643411642,-1.00991682577637,0.0594208043193102,1.36017498531927,0.338078373078351,-0.40302681935362,-0.0854914655719056,-1.74091781990515,0.390314364484138,-0.263834005484008,-0.415064168219408,0.135318880927361,-0.45953429411587
"Worcester",2013,"fall",41,0.00489141893316466,2013-10-14,1,-2.22271956496098,-2.31198956390499,-0.541116482772181,-1.96217316249477,0.0155294492180166,0.206724988686782,-0.682401081918689,0.461632590515161,-0.976029390934121,0.874442248253115,0.00438581549577138,-0.428424881390592,0.13757392557931,0.0569818545100445
"Worcester",2015,"fall",41,0.00404807084123972,2015-10-12,1,1.41037012469216,0.994693675483629,2.16049659705366,1.36763744130399,1.11866815584767,-1.06886969701272,0.167710481240592,0.778511990087652,-1.37164633951892,-0.1451221224734,-0.57649241020587,0.263346683193695,-0.915359816967008,-0.981835345636226
"Worcester",2017,"fall",41,0.750082226438963,2017-10-09,6,1.54768948136895,-1.19225414149215,1.07592547577156,-0.730457045905658,-0.429573589351986,0.03191760235027,-0.340359768343909,-0.160679769340002,-1.49859769663564,0.894325517580628,0.388574734796976,0.207848693692464,0.0490593155190884,-0.373091091497588
"Worcester",2018,"fall",41,0.0194813409234662,2018-10-08,1,4.53624537187573,0.111264138114862,1.44100883029577,-1.63519006829321,-1.46042405370126,2.15290302570995,-1.57222717505926,2.26146354271369,-0.291273120120271,-1.85474079757331,-0.552752414302206,0.449964774835202,0.00126194247628741,-0.0300316906506318
"Worcester",2015,"fall",42,0.00762386675100148,2015-10-19,1,2.84598227003963,2.08951710519946,-1.45577570515129,1.1787724579687,-0.828566009994453,0.993546073208239,-0.683648435156699,-1.07166871403192,-0.33421511409417,0.370934069853816,-0.514516413810831,0.572706030336926,0.140050637797406,0.105785687225018
"Worcester",2017,"fall",42,0.104347459413873,2017-10-16,3,3.59746539321269,-1.50357044128931,0.426977208751641,-1.19405148567787,-1.10986452647675,0.808186006828983,-2.21898879978383,-1.76454345709955,-0.292554258746093,1.16013561063669,0.113055775969299,1.06733213660267,-0.264033695171147,-0.189443885543638
"Billerica",2017,"spring",21,0.125922415543971,2017-05-22,4,-0.0695429355084373,0.229680400695663,2.0537186431482,0.934455388452257,-0.197851007777042,1.45960351994616,0.486952977277492,-0.0194704510608822,-0.831858507832113,0.153776254763258,-0.376066913888806,0.0321921914014322,-1.31155104570806,0.342070981161015
"Worcester",2013,"fall",43,0.0421842715580856,2013-10-28,2,0.877287210332187,2.67171546389777,-3.47114281587135,-0.804672199003924,1.51673555961706,-0.414667750924881,0.587754138705804,0.0964348221162378,-0.796945608754949,-0.12540927701194,0.780966851671237,-0.543977975497099,0.193369768469838,-0.113715765449501
"Worcester",2015,"fall",43,0.0155007379295804,2015-10-26,1,1.69694410652936,0.0458810888191797,0.180564507491004,1.0538999487004,1.10767392298316,-0.765861942486946,0.368947108824937,0.712699851503128,0.643502418477988,0.225133287307029,0.664984619797855,0.124175870497949,-0.329977907854754,-0.250956525938616
"Worcester",2017,"fall",43,0.421513809825005,2017-10-23,5,-2.94980338124849,-1.33558787343063,-1.21921454521237,-1.26585877664484,0.885341391469263,0.581671851852367,0.529671925492696,-0.873064896353439,-0.581916738152457,0.0510798788254402,1.01159748066124,0.266283653513501,0.303266625959317,-0.251211973039858
