"date","Year","week","eBird.DP.RF"
2009-06-15,2009,24,0.401590147303894
2009-06-22,2009,25,0.409429466003259
2009-06-29,2009,26,0.42137957110701
2009-07-06,2009,27,0.431961872725116
2009-07-13,2009,28,0.435821166780606
2009-07-20,2009,29,0.440116957055396
2009-07-27,2009,30,0.442681231770593
2009-08-03,2009,31,0.44573473603527
2009-08-10,2009,32,0.452002228622301
2009-08-17,2009,33,0.44994913754946
2009-08-24,2009,34,0.451717677569391
2009-08-31,2009,35,0.458334621986222
2009-09-07,2009,36,0.46148569524595
2009-09-14,2009,37,0.47548789791235
2009-09-21,2009,38,0.487704005238572
2009-09-28,2009,39,0.509495361645344
2009-10-05,2009,40,0.517410850383805
2009-10-12,2009,41,0.528691850452544
2009-10-19,2009,42,0.533924539188771
2009-10-26,2009,43,0.541944055580138
2009-11-02,2009,44,0.554540447677761
2009-11-09,2009,45,0.570273795181205
2009-11-16,2009,46,0.595589874044077
2009-11-23,2009,47,0.605523472787485
2009-11-30,2009,48,0.606708915852657
2009-12-07,2009,49,0.613537748148786
2009-12-14,2009,50,0.618307021383382
2009-12-21,2009,51,0.619499259499891
2009-12-28,2009,52,0.61857563580333
2010-01-04,2010,1,0.66635398664767
2010-01-11,2010,2,0.66989550958936
2010-01-18,2010,3,0.671061727368041
2010-01-25,2010,4,0.674186167428169
2010-02-01,2010,5,0.675507885384551
2010-02-08,2010,6,0.67565415497008
2010-02-15,2010,7,0.673460894393354
2010-02-22,2010,8,0.670190443539452
2010-03-01,2010,9,0.65393550061675
2010-03-08,2010,10,0.633937747088861
2010-03-15,2010,11,0.534183871074595
2010-03-22,2010,12,0.529315885235357
2010-03-29,2010,13,0.521753046384224
2010-04-05,2010,14,0.511997053436094
2010-04-12,2010,15,0.49885428510067
2010-04-19,2010,16,0.487099044989058
2010-04-26,2010,17,0.468985135806371
2010-05-03,2010,18,0.454321870756931
2010-05-10,2010,19,0.429446568809351
2010-05-17,2010,20,0.418828252746211
2010-05-24,2010,21,0.411178229828396
2010-05-31,2010,22,0.410596990681405
2010-06-07,2010,23,0.414166637657732
2010-06-14,2010,24,0.422305594932301
2010-06-21,2010,25,0.430493528878459
2010-06-28,2010,26,0.442463989481134
2010-07-05,2010,27,0.453688318764986
2010-07-12,2010,28,0.457599668327378
2010-07-19,2010,29,0.461704213449215
2010-07-26,2010,30,0.464339667601571
2010-08-02,2010,31,0.467184380124758
2010-08-09,2010,32,0.473156474645581
2010-08-16,2010,33,0.470425351323161
2010-08-23,2010,34,0.471371173191895
2010-08-30,2010,35,0.477635862740856
2010-09-06,2010,36,0.481340405784418
2010-09-13,2010,37,0.494545193543728
2010-09-20,2010,38,0.507648620222952
2010-09-27,2010,39,0.528149068895511
2010-10-04,2010,40,0.536357420091989
2010-10-11,2010,41,0.546822766671311
2010-10-18,2010,42,0.551911638983431
2010-10-25,2010,43,0.559327461225452
2010-11-01,2010,44,0.571472330302561
2010-11-08,2010,45,0.586581497823993
2010-11-15,2010,46,0.611109716551346
2010-11-22,2010,47,0.619601155106778
2010-11-29,2010,48,0.620505553718377
2010-12-06,2010,49,0.625298376125832
2010-12-13,2010,50,0.629785794489863
2010-12-20,2010,51,0.631296017007488
2010-12-27,2010,52,0.63060860069073
2011-01-03,2011,1,0.677535562622941
2011-01-10,2011,2,0.681866201488436
2011-01-17,2011,3,0.683478147041262
