"actual_city_town","week","year","ncoh","zscore"
"Stoughton",38,2015,0.00250370919881306,-0.112520190780469
"Stoughton",39,2017,0.000147440652818991,-0.131308843450558
"Stoughton",40,2015,0.00424888724035608,-0.0986043134388295
"Stoughton",40,2016,0.000846624629080119,-0.125733619478403
"Stoughton",41,2013,0.346002410979228,2.62650453174148
"Stoughton",41,2015,0.00247403560830861,-0.112756805060455
"Stoughton",41,2018,0.0062963649851632,-0.0822779281198386
"Stoughton",42,2013,0.00158753709198813,-0.119825656675018
"Stoughton",43,2013,0.00164410237388724,-0.119374610703796
"Stoughton",44,2015,0.00111275964391691,-0.123611485154784
"Stoughton",44,2018,0.00406435459940653,-0.100075758492489
"Stoughton",45,2015,0.00127503709198813,-0.122317500811114
"Stoughton",45,2016,0.00674425074183976,-0.0787065313313094
"Stoughton",45,2017,0.000339391691394659,-0.129778244826903
"Stoughton",46,2013,0.000463649851632047,-0.128787422529464
"Stoughton",46,2018,0.0045066765578635,-0.0965487268814565
"Stoughton",47,2015,0.00049146884272997,-0.128565596641978
"Stoughton",47,2017,0.000879080118694362,-0.125474822609669
"Stoughton",47,2018,0.000743694362017804,-0.126554375262102
"Stoughton",48,2017,0.00255471068249258,-0.112113509986744
"Stoughton",48,2018,0.0037370178041543,-0.102685909768577
"Stoughton",49,2017,0.00021513353115727,-0.130769067124341
"Stoughton",51,2017,0.00114057863501484,-0.123389659267297
"Stoughton",51,2018,0.00184718100890208,-0.117755281725146
"Stoughton",52,2013,0.00168304896142433,-0.119064054461315
"Stoughton",52,2018,0.00239892433234421,-0.113355734956668
"Stoughton",53,2016,0.00104877596439169,-0.124121684696002
"Stow",42,2017,0.00184466019417476,-0.117775382452814
"Sturbridge",1,2016,0.0141418636995828,-0.0197186962277591
"Sturbridge",8,2016,0.000517385257301808,-0.128358941711803
"Sturbridge",15,2016,0.00146036161335188,-0.120839741381242
"Sturbridge",16,2016,0.00166898470097357,-0.1191762014851
"Sturbridge",16,2018,0.00143254520166898,-0.121061546700727
"Sturbridge",19,2018,0.00152990264255911,-0.120285228082528
"Sturbridge",20,2015,0.00023643949930459,-0.130599175438608
"Sturbridge",23,2016,0.00154381084840056,-0.120174325422785
"Sturbridge",24,2018,0.00260083449235049,-0.111745723282332
"Sturbridge",25,2016,0.000937413073713491,-0.125009681387571
"Sturbridge",26,2016,0.0164450625869263,-0.00135321577435185
"Sturbridge",26,2017,0.0137134909596662,-0.0231344981478372
"Sturbridge",27,2017,0.00318219749652295,-0.107109992105083
"Sturbridge",28,2015,0.0147621696801113,-0.0147724376032303
"Sturbridge",28,2018,0.00264255910987483,-0.111413015303104
"Sturbridge",29,2013,0.00118497913769124,-0.123035614044149
"Sturbridge",29,2016,0.000959666203059805,-0.124832237131982
"Sturbridge",30,2015,0.00712378303198887,-0.0756801783339745
"Sturbridge",30,2017,0.00371627260083449,-0.10285132997096
"Sturbridge",31,2015,0.00344645340751043,-0.10500284156997
"Sturbridge",31,2018,0.00107927677329624,-0.123878474258194
"Sturbridge",33,2017,0.00100139082058414,-0.124499529152754
"Sturbridge",39,2015,0.00090125173852573,-0.125298028302902
"Sturbridge",39,2016,0.000623087621696801,-0.127516081497758
