"actual_city_town","year","season","week","saidi","date","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5","Dim.6","Dim.7","Dim.8","Dim.9","Dim.10","Dim.11","Dim.12","Dim.13","Dim.14"
"Brockton",2013,"fall",42,5.37464315701092,2013-10-21,-1.48021405565124,-2.56436073492406,-0.850753934550071,-0.73472319668448,-0.154857983865165,0.333749366326845,0.137299842444394,-0.213882684542997,1.51334022298711,-0.302309772602927,0.514057337958135,0.121481529178692,0.0833589543287993,-0.674041446839446
"Brockton",2016,"fall",42,0.0373542308051124,2016-10-17,-0.785661667710988,-3.45331096278956,-0.383511794228117,-1.44281538503812,0.165496357147239,0.493921639174873,0.307770911115936,-0.135928016897205,0.904536670510406,-0.117625046225201,1.05441039301923,-0.25518356201574,0.273134852946884,-0.282541808872469
"Brockton",2013,"fall",43,0.0318686444631029,2013-10-28,-1.667545916542,-2.65023944333197,-0.740792518543043,-0.687784761029118,-0.17873000112717,0.282923699478001,0.223118505652951,-0.263983956695679,1.39590001112381,-0.250170875218339,0.424007493521887,0.131947206192236,0.195689630423631,-0.663045834164822
"Brockton",2015,"fall",43,0.276667599589514,2015-10-26,-1.67638048959755,-2.78873042230416,-0.472247437473628,-0.895791404989703,-0.231118298010358,0.363365444690229,0.215518828011779,-0.356327282959936,1.28070081772049,-0.194367598573435,0.454552684293146,0.00169167803129991,0.223253135882461,-0.597454810552828
"Brockton",2013,"fall",44,2.33663588021271,2013-11-04,-1.8938325247122,-2.73464807724104,-0.722580928011818,-0.771366740609596,-0.115506655396124,0.160371093329237,0.283088660064706,-0.39450970175705,1.41012298035014,-0.213390912996679,0.400550774771139,0.0507892652511967,0.125643013066622,-0.721141839243514
"Brockton",2015,"fall",44,0.232409739714526,2015-11-02,-1.90256316980964,-2.86099149312792,-0.436405349100681,-0.983585225261206,-0.170738608508315,0.233326554579941,0.297139563828013,-0.457012079593626,1.29486340148364,-0.162296154550094,0.479790048233537,-0.0901025651301074,0.164749945587125,-0.674098614821764
"Brockton",2016,"fall",44,0.00649314301707249,2016-10-31,-1.14513650509283,-3.56499223960573,-0.333558592497779,-1.50523014494723,0.200504848345413,0.315196337223322,0.462752699405008,-0.175440169580104,0.801687861844399,0.0254260290419132,1.00230205753399,-0.311319951570532,0.324277761629818,-0.316243089019956
"Brockton",2017,"fall",44,0.0288273159809684,2017-10-30,-1.13836150207293,-3.42623770821694,-0.2628964884838,-1.41250558608435,0.154083108517696,0.298003538814062,0.353051340853807,-0.121674688451764,0.762387905885831,0.0391183426121989,0.957516029674202,-0.229801493581138,0.411135269127273,-0.304836900036924
"Brockton",2018,"fall",44,0.0098516652672824,2018-10-29,-1.23739627934659,-3.25180908809721,-0.0543255869062105,-1.34338639512337,-0.0211069440883237,0.219524714727552,0.211134142892395,-0.173543396928791,0.485962190574317,0.308239105558803,0.912574041831705,-0.2169687497804,0.362356019493845,-0.152570919104189
"Brockton",2015,"fall",45,1.96270174456572,2015-11-09,-2.28606952501466,-2.83175109411052,-0.603255534472816,-1.11989492954985,-0.36769417774025,0.103666466491409,0.38443093366009,-0.479769285161907,1.28528081630831,-0.0389539225963513,0.433265462929637,-0.00654506258608233,0.183464334393842,-0.434467227289571
"Amesbury",2016,"fall",46,0.13832562053008,2016-11-14,-0.875326066978815,-0.0472454906827711,-1.43640627396637,-0.928581751854616,0.281800490567689,-0.305388029149474,0.303180097105323,0.475799555581451,-0.833083404113278,-0.0673175787171663,0.717275152185479,0.845019576265806,-0.151021933817899,0.440965966953027
"Brockton",2016,"fall",45,0.212426532325777,2016-11-07,-1.66630545761824,-3.48245328823106,-0.615685059292296,-1.54565030024738,0.114214350117099,0.165245563418803,0.383933783050787,-0.246376848192561,0.865312950621135,0.121820954253581,0.816324645699657,-0.228558327590748,0.282346452048341,-0.053859636445705
"Brockton",2017,"fall",45,0.123780203377181,2017-11-06,-1.62457782038046,-3.31051444398655,-0.529231763002979,-1.49866579513883,0.0928060170617444,0.161669733449635,0.343582846916615,-0.199550301618821,0.806298818616639,0.148502619175534,0.800802502704494,-0.14336338349802,0.359481627773128,-0.0228278348863558
"Brockton",2018,"fall",45,0.0850639052150387,2018-11-05,-1.68779257280655,-3.11254474764996,-0.245528837965477,-1.4842430194266,-0.0998876614067029,0.101351174917459,0.246357926245496,-0.232611451303751,0.50324111981187,0.427964212602878,0.778744464095786,-0.111782233186094,0.31097876711766,0.0881962918815394
"Brockton",2013,"fall",46,0.044798955126411,2013-11-18,-2.6070674751165,-2.46794358747999,-1.11085743402371,-0.81252074491009,-0.309823384770797,-0.0124043887028127,0.259431673571757,-0.264718371310816,1.41584485218487,-0.156071571615597,0.104589657161734,0.245232642570007,0.0538501975322594,-0.293081730172021
"Brockton",2015,"fall",46,0.0304506017352365,2015-11-16,-2.56373372560014,-2.59246938014564,-0.864253704181938,-1.05066314710886,-0.366744713503333,0.0405992497911989,0.310756570170014,-0.350356492645149,1.29036278149036,-0.0641788932536463,0.183360354752274,0.0990510097123551,0.0743619137676794,-0.229170197440086
"Brockton",2016,"fall",46,0.00513107566004291,2016-11-14,-2.06851957454369,-3.18002414348774,-0.980156685618046,-1.44785555606462,0.109683436321643,0.0850615972413359,0.267823561978298,-0.12665661410307,0.879848856017735,0.126756344436174,0.425183633013451,-0.0855266117807385,0.120255341373017,0.158831849499921
